indicator;sex;measure_type;measurement;minus_3sd;minus_2sd;minus_1sd;median;plus_1sd;plus_2sd;plus_3sd
BB/TB;P;height_cm;73.5;7;7.6;8.2;9;9.9;10.8;12
BB/TB;P;height_cm;74;7;7.6;8.3;9.1;10;11;12.1
BB/TB;P;height_cm;74.5;7.1;7.7;8.4;9.2;10.1;11.1;12.2
BB/TB;P;height_cm;75;7.2;7.8;8.5;9.3;10.2;11.2;12.3
BB/TB;P;height_cm;75.5;7.2;7.9;8.6;9.4;10.3;11.3;12.5
BB/TB;P;height_cm;76;7.3;8;8.7;9.5;10.4;11.4;12.6
BB/TB;P;height_cm;76.5;7.4;8;8.7;9.6;10.5;11.5;12.7
BB/TB;P;height_cm;77;7.5;8.1;8.8;9.6;10.6;11.6;12.8
BB/TB;P;height_cm;77.5;7.5;8.2;8.9;9.7;10.7;11.7;12.9
BB/TB;P;height_cm;78;7.6;8.3;9;9.8;10.8;11.8;13.1
BB/TB;P;height_cm;78.5;7.7;8.4;9.1;9.9;10.9;12;13.2
BB/TB;P;height_cm;79;7.8;8.4;9.2;10;11;12.1;13.3
BB/TB;P;height_cm;79.5;7.8;8.5;9.3;10.1;11.1;12.2;13.4
BB/TB;P;height_cm;80;7.9;8.6;9.4;10.2;11.2;12.3;13.6
BB/TB;P;height_cm;80.5;8;8.7;9.5;10.3;11.3;12.4;13.7
BB/TB;P;height_cm;81;8.1;8.8;9.6;10.4;11.4;12.6;13.9
BB/TB;P;height_cm;81.5;8.2;8.9;9.7;10.6;11.6;12.7;14
BB/TB;P;height_cm;82;8.3;9;9.8;10.7;11.7;12.8;14.1
BB/TB;P;height_cm;82.5;8.4;9.1;9.9;10.8;11.8;13;14.3
BB/TB;P;height_cm;83;8.5;9.2;10;10.9;11.9;13.1;14.5
BB/TB;P;height_cm;83.5;8.5;9.3;10.1;11;12.1;13.3;14.6
BB/TB;P;height_cm;84;8.6;9.4;10.2;11.1;12.2;13.4;14.8
BB/TB;P;height_cm;84.5;8.7;9.5;10.3;11.3;12.3;13.5;14.9
BB/TB;P;height_cm;85;8.8;9.6;10.4;11.4;12.5;13.7;15.1
BB/TB;P;height_cm;85.5;8.9;9.7;10.6;11.5;12.6;13.8;15.3
BB/TB;P;height_cm;86;9;9.8;10.7;11.6;12.7;14;15.4
BB/TB;P;height_cm;86.5;9.1;9.9;10.8;11.8;12.9;14.2;15.6
BB/TB;P;height_cm;87;9.2;10;10.9;11.9;13;14.3;15.8
BB/TB;P;height_cm;87.5;9.3;10.1;11;12;13.2;14.5;15.9
BB/TB;P;height_cm;88;9.4;10.2;11.1;12.1;13.3;14.6;16.1
BB/TB;P;height_cm;88.5;9.5;10.3;11.2;12.3;13.4;14.8;16.3
BB/TB;P;height_cm;89;9.6;10.4;11.4;12.4;13.6;14.9;16.4
BB/TB;P;height_cm;89.5;9.7;10.5;11.5;12.5;13.7;15.1;16.6
BB/TB;P;height_cm;90;9.8;10.6;11.6;12.6;13.8;15.2;16.8
BB/TB;P;height_cm;90.5;9.9;10.7;11.7;12.8;14;15.4;16.9
BB/TB;P;height_cm;91;10;10.9;11.8;12.9;14.1;15.5;17.1
BB/TB;P;height_cm;91.5;10.1;11;11.9;13;14.3;15.7;17.3
BB/TB;P;height_cm;92;10.2;11.1;12;13.1;14.4;15.8;17.4
BB/TB;P;height_cm;92.5;10.3;11.2;12.1;13.3;14.5;16;17.6
BB/TB;P;height_cm;93;10.4;11.3;12.3;13.4;14.7;16.1;17.8
BB/TB;P;height_cm;93.5;10.5;11.4;12.4;13.5;14.8;16.3;17.9
BB/TB;P;height_cm;94;10.6;11.5;12.5;13.6;14.9;16.4;18.1
BB/TB;P;height_cm;94.5;10.7;11.6;12.6;13.8;15.1;16.6;18.3
BB/TB;P;height_cm;95;10.8;11.7;12.7;13.9;15.2;16.7;18.5
BB/TB;P;height_cm;95.5;10.8;11.8;12.8;14;15.4;16.9;18.6
BB/TB;P;height_cm;96;10.9;11.9;12.9;14.1;15.5;17;18.8
BB/TB;P;height_cm;96.5;11;12;13.1;14.3;15.6;17.2;19
BB/TB;P;height_cm;97;11.1;12.1;13.2;14.4;15.8;17.4;19.2
BB/TB;P;height_cm;97.5;11.2;12.2;13.3;14.5;15.9;17.5;19.3
BB/TB;P;height_cm;98;11.3;12.3;13.4;14.7;16.1;17.7;19.5
BB/TB;P;height_cm;98.5;11.4;12.4;13.5;14.8;16.2;17.9;19.7
BB/TB;P;height_cm;99;11.5;12.5;13.7;14.9;16.4;18;19.9
BB/TB;P;height_cm;99.5;11.6;12.7;13.8;15.1;16.5;18.2;20.1
BB/TB;P;height_cm;100;11.7;12.8;13.9;15.2;16.7;18.4;20.3
BB/TB;P;height_cm;100.5;11.9;12.9;14.1;15.4;16.9;18.6;20.5
BB/TB;P;height_cm;101;12;13;14.2;15.5;17;18.7;20.7
BB/TB;P;height_cm;101.5;12.1;13.1;14.3;15.7;17.2;18.9;20.9
BB/TB;P;height_cm;102;12.2;13.3;14.5;15.8;17.4;19.1;21.1
BB/TB;P;height_cm;102.5;12.3;13.4;14.6;16;17.5;19.3;21.4
BB/TB;P;height_cm;103;12.4;13.5;14.7;16.1;17.7;19.5;21.6
BB/TB;P;height_cm;103.5;12.5;13.6;14.9;16.3;17.9;19.7;21.8
BB/TB;P;height_cm;104;12.6;13.8;15;16.4;18.1;19.9;22
BB/TB;P;height_cm;104.5;12.8;13.9;15.2;16.6;18.2;20.1;22.3
